InvoiceDate,Sales,MonthIndex,ForecastSales
2010-12-31,823746.14,0,592121.9024505494
2011-01-31,691364.56,1,629903.6420934065
2011-02-28,523631.89,2,667685.3817362637
2011-03-31,717639.36,3,705467.1213791209
2011-04-30,537808.621,4,743248.861021978
2011-05-31,770536.02,5,781030.6006648352
2011-06-30,761739.9,6,818812.3403076923
2011-07-31,719221.191,7,856594.0799505494
2011-08-31,737014.26,8,894375.8195934065
2011-09-30,1058590.172,9,932157.5592362637
2011-10-31,1154979.3,10,969939.2988791208
2011-11-30,1509496.33,11,1007721.0385219781
2011-12-31,638792.68,12,1045502.7781648352
